cik,sic,sic_description,company_name,ticker
0000004962,6199,FINANCE SERVICES,AMERICAN EXPRESS CO,AXP
0000007789,6022,STATE COMMERCIAL BANKS,ASSOCIATED BANC-CORP,ASB
0000016614,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",CAMCO FINANCIAL CORP,CAFI
0000018349,6021,NATIONAL COMMERCIAL BANKS,SYNOVUS FINANCIAL CORP,SNV
0000019612,6022,STATE COMMERCIAL BANKS,CHEMICAL FINANCIAL CORP,CHFC
0000019617,6021,NATIONAL COMMERCIAL BANKS,JPMORGAN CHASE & CO,JPM
0000022356,6022,STATE COMMERCIAL BANKS,COMMERCE BANCSHARES INC /MO/,CBSH
0000028412,6021,NATIONAL COMMERCIAL BANKS,COMERICA INC /NEW/,CMA
0000034782,6022,STATE COMMERCIAL BANKS,1ST SOURCE CORP,SRCE
0000035527,6022,STATE COMMERCIAL BANKS,FIFTH THIRD BANCORP,FITB
0000036029,6022,STATE COMMERCIAL BANKS,FIRST FINANCIAL BANKSHARES INC,FFIN
0000036104,6021,NATIONAL COMMERCIAL BANKS,US BANCORP \DE\,USB
0000036146,6021,NATIONAL COMMERCIAL BANKS,TRUSTMARK CORP,TRMK
0000036270,6022,STATE COMMERCIAL BANKS,M&T BANK CORP,MTB
0000036377,6022,STATE COMMERCIAL BANKS,"FIRST HAWAIIAN, INC.",
0000036506,6022,STATE COMMERCIAL BANKS,MACKINAC FINANCIAL CORP /MI/,MFNC
0000036966,6021,NATIONAL COMMERCIAL BANKS,FIRST HORIZON NATIONAL CORP,FHN
0000037049,6022,STATE COMMERCIAL BANKS,FIRST WEST VIRGINIA BANCORP INC,
0000037808,6021,NATIONAL COMMERCIAL BANKS,FNB CORP/PA/,FNB
0000038777,6282,INVESTMENT ADVICE,FRANKLIN RESOURCES INC,BEN
0000039263,6021,NATIONAL COMMERCIAL BANKS,"CULLEN/FROST BANKERS, INC.",CFR
0000039311,6022,STATE COMMERCIAL BANKS,INDEPENDENT BANK CORP /MI/,IBCP
0000046195,6022,STATE COMMERCIAL BANKS,BANK OF HAWAII CORP,BOH
0000049196,6021,NATIONAL COMMERCIAL BANKS,HUNTINGTON BANCSHARES INC/MD,HBAN
0000070858,6021,NATIONAL COMMERCIAL BANKS,BANK OF AMERICA CORP /DE/,BAC
0000072971,6021,NATIONAL COMMERCIAL BANKS,WELLS FARGO & COMPANY/MN,WFC
0000073124,6022,STATE COMMERCIAL BANKS,NORTHERN TRUST CORP,NTRS
0000083246,6021,NATIONAL COMMERCIAL BANKS,HSBC USA INC /MD/,
0000090498,6021,NATIONAL COMMERCIAL BANKS,SIMMONS FIRST NATIONAL CORP,SFNC
0000091576,6021,NATIONAL COMMERCIAL BANKS,KEYCORP /NEW/,KEY
0000092230,6021,NATIONAL COMMERCIAL BANKS,BB&T CORP,BBT
0000093451,6021,NATIONAL COMMERCIAL BANKS,STERLING BANCORP,
0000093751,6022,STATE COMMERCIAL BANKS,STATE STREET CORP,STT
0000101382,6021,NATIONAL COMMERCIAL BANKS,UMB FINANCIAL CORP,UMBF
0000102212,6022,STATE COMMERCIAL BANKS,UNIVEST FINANCIAL Corp,UVSP
0000106926,6021,NATIONAL COMMERCIAL BANKS,WHITNEY HOLDING CORP,WTNY
0000109380,6021,NATIONAL COMMERCIAL BANKS,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION
0000201461,6021,NATIONAL COMMERCIAL BANKS,CITY NATIONAL CORP,CYN
0000203596,6021,NATIONAL COMMERCIAL BANKS,WESBANCO INC,WSBC
0000311094,6021,NATIONAL COMMERCIAL BANKS,WESTAMERICA BANCORPORATION,WABC
0000314489,6022,STATE COMMERCIAL BANKS,FIRST BUSEY CORP /NV/,BUSE
0000315709,6022,STATE COMMERCIAL BANKS,INTERNATIONAL BANCSHARES CORP,IBOC
0000315849,6022,STATE COMMERCIAL BANKS,SOUTHWEST GEORGIA FINANCIAL CORP,SGB
0000316709,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",SCHWAB CHARLES CORP,SCHW
0000318300,6022,STATE COMMERCIAL BANKS,PEOPLES BANCORP INC,PEBO
0000320387,6022,STATE COMMERCIAL BANKS,FIRST M&F CORP/MS,FMFC
0000350852,6022,STATE COMMERCIAL BANKS,COMMUNITY TRUST BANCORP INC /KY/,CTBI
0000351077,6021,NATIONAL COMMERCIAL BANKS,"CITIZENS REPUBLIC BANCORP, INC.",
0000351569,6022,STATE COMMERCIAL BANKS,Ameris Bancorp,ABCB
0000353191,6022,STATE COMMERCIAL BANKS,NORTH VALLEY BANCORP,NOVB
0000354647,6022,STATE COMMERCIAL BANKS,CVB FINANCIAL CORP,CVBF
0000354869,6021,NATIONAL COMMERCIAL BANKS,FIRSTMERIT CORP /OH/,FMER
0000356171,6022,STATE COMMERCIAL BANKS,TRICO BANCSHARES /,TCBK
0000357173,6022,STATE COMMERCIAL BANKS,OLD SECOND BANCORP INC,OSBC
0000357264,6022,STATE COMMERCIAL BANKS,PACIFIC CAPITAL BANCORP /CA/,PCBC
0000357301,6022,STATE COMMERCIAL BANKS,TRUSTCO BANK CORP N Y,TRST
0000700564,6021,NATIONAL COMMERCIAL BANKS,FULTON FINANCIAL CORP,FULT
0000700733,6021,NATIONAL COMMERCIAL BANKS,NATIONAL PENN BANCSHARES INC,NPBC
0000700863,6021,NATIONAL COMMERCIAL BANKS,SUSQUEHANNA BANCSHARES INC,SUSQ
0000701347,6022,STATE COMMERCIAL BANKS,CENTRAL PACIFIC FINANCIAL CORP,CPF
0000701853,6022,STATE COMMERCIAL BANKS,BANCORPSOUTH INC,
0000702325,6021,NATIONAL COMMERCIAL BANKS,FIRST MIDWEST BANCORP INC,FMBI
0000702513,6022,STATE COMMERCIAL BANKS,Bank of Commerce Holdings,BOCH
0000705432,6022,STATE COMMERCIAL BANKS,SOUTHSIDE BANCSHARES INC,SBSI
0000706129,6022,STATE COMMERCIAL BANKS,HORIZON BANCORP INC /IN/,HBNC
0000706863,6022,STATE COMMERCIAL BANKS,UNION BANKSHARES INC,UNB
0000707179,6021,NATIONAL COMMERCIAL BANKS,OLD NATIONAL BANCORP /IN/,ONB
0000707604,6021,NATIONAL COMMERCIAL BANKS,BRITTON & KOONTZ CAPITAL CORP,BKBK
0000707605,6021,NATIONAL COMMERCIAL BANKS,AMERISERV FINANCIAL INC /PA/,ASRV
0000707855,6021,NATIONAL COMMERCIAL BANKS,PRINCETON NATIONAL BANCORP INC,PNBC
0000708781,7389,"SERVICES-BUSINESS SERVICES, NEC",CASS INFORMATION SYSTEMS INC,CASS
0000708955,6021,NATIONAL COMMERCIAL BANKS,FIRST FINANCIAL BANCORP /OH/,FFBC
0000711669,6022,STATE COMMERCIAL BANKS,COLONY BANKCORP INC,CBAN
0000712534,6021,NATIONAL COMMERCIAL BANKS,FIRST MERCHANTS CORP,FRME
0000712537,6021,NATIONAL COMMERCIAL BANKS,FIRST COMMONWEALTH FINANCIAL CORP /PA/,FCF
0000712771,6022,STATE COMMERCIAL BANKS,"ConnectOne Bancorp, Inc.",
0000713095,6021,NATIONAL COMMERCIAL BANKS,FARMERS CAPITAL BANK CORP,FFKT
0000713671,6021,NATIONAL COMMERCIAL BANKS,DNB FINANCIAL CORP /PA/,DNBF
0000713676,6021,NATIONAL COMMERCIAL BANKS,"PNC FINANCIAL SERVICES GROUP, INC.",PNC
0000714310,6021,NATIONAL COMMERCIAL BANKS,VALLEY NATIONAL BANCORP,VLY
0000714395,6022,STATE COMMERCIAL BANKS,"GERMAN AMERICAN BANCORP, INC.",GABC
0000714530,6022,STATE COMMERCIAL BANKS,NEWBRIDGE BANCORP,NBBC
0000714562,6022,STATE COMMERCIAL BANKS,FIRST FINANCIAL CORP /IN/,THFF
0000715072,6022,STATE COMMERCIAL BANKS,RENASANT CORP,RNST
0000715579,6022,STATE COMMERCIAL BANKS,ACNB CORP,ACNB
0000716605,6022,STATE COMMERCIAL BANKS,PENNS WOODS BANCORP INC,PWOD
0000717059,6022,STATE COMMERCIAL BANKS,WEST COAST BANCORP /NEW/OR/,WCBO
0000717538,6021,NATIONAL COMMERCIAL BANKS,ARROW FINANCIAL CORP,AROW
0000717806,6022,STATE COMMERCIAL BANKS,FIRST US BANCSHARES INC,
0000719220,6022,STATE COMMERCIAL BANKS,S&T BANCORP INC,STBA
0000719739,6022,STATE COMMERCIAL BANKS,SVB FINANCIAL GROUP,SIVB
0000720002,6022,STATE COMMERCIAL BANKS,MAINSOURCE FINANCIAL GROUP,MSFG
0000720005,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",RAYMOND JAMES FINANCIAL INC,RJF
0000720672,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",STIFEL FINANCIAL CORP,SF
0000721994,6022,STATE COMMERCIAL BANKS,LAKELAND FINANCIAL CORP,LKFN
0000722256,6022,STATE COMMERCIAL BANKS,HUDSON VALLEY HOLDING CORP,
0000723188,6021,NATIONAL COMMERCIAL BANKS,"COMMUNITY BANK SYSTEM, INC.",CBU
0000723458,6022,STATE COMMERCIAL BANKS,STATE BANCORP INC,STBC
0000726517,6022,STATE COMMERCIAL BANKS,MERCHANTS BANCSHARES INC,MBVT
0000726601,6022,STATE COMMERCIAL BANKS,CAPITAL CITY BANK GROUP INC,CCBG
0000726854,6021,NATIONAL COMMERCIAL BANKS,CITY HOLDING CO,CHCO
0000729986,6022,STATE COMMERCIAL BANKS,UNITED BANKSHARES INC/WV,UBSI
0000730708,6022,STATE COMMERCIAL BANKS,SEACOAST BANKING CORP OF FLORIDA,SBCF
0000731653,6022,STATE COMMERCIAL BANKS,UNITED BANCORP INC /OH/,UBCP
0000736772,6022,STATE COMMERCIAL BANKS,CNB FINANCIAL CORP/PA,CCNE
0000737210,6022,STATE COMMERCIAL BANKS,LNB BANCORP INC,LNBB
