,cik,sic,sic_description,company_name,ticker
0,0000004962,6199,FINANCE SERVICES,AMERICAN EXPRESS CO,AXP
1,0000007789,6022,STATE COMMERCIAL BANKS,ASSOCIATED BANC-CORP,ASB
2,0000016614,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",CAMCO FINANCIAL CORP,CAFI
3,0000018349,6021,NATIONAL COMMERCIAL BANKS,SYNOVUS FINANCIAL CORP,SNV
4,0000019612,6022,STATE COMMERCIAL BANKS,CHEMICAL FINANCIAL CORP,CHFC
5,0000019617,6021,NATIONAL COMMERCIAL BANKS,JPMORGAN CHASE & CO,JPM
6,0000022356,6022,STATE COMMERCIAL BANKS,COMMERCE BANCSHARES INC /MO/,CBSH
7,0000028412,6021,NATIONAL COMMERCIAL BANKS,COMERICA INC /NEW/,CMA
8,0000034782,6022,STATE COMMERCIAL BANKS,1ST SOURCE CORP,SRCE
9,0000035527,6022,STATE COMMERCIAL BANKS,FIFTH THIRD BANCORP,FITB
10,0000036029,6022,STATE COMMERCIAL BANKS,FIRST FINANCIAL BANKSHARES INC,FFIN
11,0000036104,6021,NATIONAL COMMERCIAL BANKS,US BANCORP \DE\,USB
12,0000036146,6021,NATIONAL COMMERCIAL BANKS,TRUSTMARK CORP,TRMK
13,0000036270,6022,STATE COMMERCIAL BANKS,M&T BANK CORP,MTB
14,0000036377,6022,STATE COMMERCIAL BANKS,"FIRST HAWAIIAN, INC.",
15,0000036506,6022,STATE COMMERCIAL BANKS,MACKINAC FINANCIAL CORP /MI/,MFNC
16,0000036966,6021,NATIONAL COMMERCIAL BANKS,FIRST HORIZON NATIONAL CORP,FHN
17,0000037049,6022,STATE COMMERCIAL BANKS,FIRST WEST VIRGINIA BANCORP INC,
18,0000037808,6021,NATIONAL COMMERCIAL BANKS,FNB CORP/PA/,FNB
19,0000038777,6282,INVESTMENT ADVICE,FRANKLIN RESOURCES INC,BEN
20,0000039263,6021,NATIONAL COMMERCIAL BANKS,"CULLEN/FROST BANKERS, INC.",CFR
21,0000039311,6022,STATE COMMERCIAL BANKS,INDEPENDENT BANK CORP /MI/,IBCP
22,0000046195,6022,STATE COMMERCIAL BANKS,BANK OF HAWAII CORP,BOH
23,0000049196,6021,NATIONAL COMMERCIAL BANKS,HUNTINGTON BANCSHARES INC/MD,HBAN
24,0000070858,6021,NATIONAL COMMERCIAL BANKS,BANK OF AMERICA CORP /DE/,BAC
25,0000072971,6021,NATIONAL COMMERCIAL BANKS,WELLS FARGO & COMPANY/MN,WFC
26,0000073124,6022,STATE COMMERCIAL BANKS,NORTHERN TRUST CORP,NTRS
27,0000083246,6021,NATIONAL COMMERCIAL BANKS,HSBC USA INC /MD/,
28,0000090498,6021,NATIONAL COMMERCIAL BANKS,SIMMONS FIRST NATIONAL CORP,SFNC
29,0000091576,6021,NATIONAL COMMERCIAL BANKS,KEYCORP /NEW/,KEY
30,0000092230,6021,NATIONAL COMMERCIAL BANKS,BB&T CORP,BBT
31,0000093451,6021,NATIONAL COMMERCIAL BANKS,STERLING BANCORP,
32,0000093751,6022,STATE COMMERCIAL BANKS,STATE STREET CORP,STT
33,0000101382,6021,NATIONAL COMMERCIAL BANKS,UMB FINANCIAL CORP,UMBF
34,0000102212,6022,STATE COMMERCIAL BANKS,UNIVEST FINANCIAL Corp,UVSP
35,0000106926,6021,NATIONAL COMMERCIAL BANKS,WHITNEY HOLDING CORP,WTNY
36,0000109380,6021,NATIONAL COMMERCIAL BANKS,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION
37,0000201461,6021,NATIONAL COMMERCIAL BANKS,CITY NATIONAL CORP,CYN
38,0000203596,6021,NATIONAL COMMERCIAL BANKS,WESBANCO INC,WSBC
39,0000311094,6021,NATIONAL COMMERCIAL BANKS,WESTAMERICA BANCORPORATION,WABC
40,0000314489,6022,STATE COMMERCIAL BANKS,FIRST BUSEY CORP /NV/,BUSE
41,0000315709,6022,STATE COMMERCIAL BANKS,INTERNATIONAL BANCSHARES CORP,IBOC
